fighter_name,first_name,last_name,nickname,fighter_url,height,weight,reach,stance,wins,losses,draws
Liam Anderson,Liam,Anderson,,http://www.ufcstats.com/fighter-details/b03a0c78ca45facf,"6' 3""",185 lbs.,"75.0""",Orthodox,6,3,0
Tatsuya Ando,Tatsuya,Ando,Kirinji,http://www.ufcstats.com/fighter-details/17615148dd4be6f6,"5' 4""",145 lbs.,"68.0""",Southpaw,14,4,1
Alex Andrade,Alex,Andrade,El Toro,http://www.ufcstats.com/fighter-details/1562b12763cc8d67,"5' 11""",200 lbs.,--,Orthodox,10,5,0
Jessica Andrade,Jessica,Andrade,Bate Estaca,http://www.ufcstats.com/fighter-details/6a1901c62ab3870f,"5' 1""",115 lbs.,"62.0""",Orthodox,26,15,0
Viscardi Andrade,Viscardi,Andrade,,http://www.ufcstats.com/fighter-details/d221ee27afc7a60e,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0
Jermaine Andre,Jermaine,Andre,,http://www.ufcstats.com/fighter-details/9bad58fa651d6196,"5' 7""",200 lbs.,--,Orthodox,14,4,0
Fellipe Andrew,Fellipe,Andrew,,http://www.ufcstats.com/fighter-details/7977fb0fd9c5955d,--,--,--,,0,0,0
Dylan Andrews,Dylan,Andrews,The Villain,http://www.ufcstats.com/fighter-details/00debc804e2b1cd4,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0
Reese Andy,Reese,Andy,Riptide,http://www.ufcstats.com/fighter-details/46e2ca71fd5089cb,"6' 0""",205 lbs.,--,Orthodox,7,3,0
Angga,,Angga,The Hitman,http://www.ufcstats.com/fighter-details/d6a3e131ad4ba064,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0
Julius Anglickas,Julius,Anglickas,,http://www.ufcstats.com/fighter-details/e20ad078a7d63361,"6' 3""",205 lbs.,--,Orthodox,5,1,0
Collin Anglin,Collin,Anglin,,http://www.ufcstats.com/fighter-details/047a91d3d9c79b05,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0
Chad Anheliger,Chad,Anheliger,The Monster,http://www.ufcstats.com/fighter-details/c7c39e2fb70248b3,"5' 6""",135 lbs.,"64.0""",Orthodox,13,8,0
Yoji Anjo,Yoji,Anjo,Mr. 200%,http://www.ufcstats.com/fighter-details/e06fd1260ac865a7,"5' 11""",205 lbs.,--,Orthodox,0,5,1
Magomed Ankalaev,Magomed,Ankalaev,,http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e,"6' 3""",205 lbs.,"75.0""",Orthodox,21,2,1
Gadzhimurad Antigulov,Gadzhimurad,Antigulov,,http://www.ufcstats.com/fighter-details/af997f7611673880,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0
Adam Antolin,Adam,Antolin,Captain Chaos,http://www.ufcstats.com/fighter-details/25b31165758402dd,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0
Angelo Antonio,Angelo,Antonio,,http://www.ufcstats.com/fighter-details/dbd198f780286aca,--,205 lbs.,--,Orthodox,1,4,0
Vanilto Antunes,Vanilto,Antunes,,http://www.ufcstats.com/fighter-details/cc49ada1ea955b13,"6' 0""",170 lbs.,"72.0""",Orthodox,16,7,0
Azunna Anyanwu,Azunna,Anyanwu,Zulu,http://www.ufcstats.com/fighter-details/78d48d3874dacafd,"6' 1""",251 lbs.,--,Orthodox,14,5,0
Shinsho Anzai,Shinsho,Anzai,Animal,http://www.ufcstats.com/fighter-details/4665f9f909cd7214,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0
Jin Aoi,Jin,Aoi,,http://www.ufcstats.com/fighter-details/031da10a00c8ccd4,"5' 6""",145 lbs.,"68.0""",Orthodox,14,6,1
Shinya Aoki,Shinya,Aoki,Tobikan Judan,http://www.ufcstats.com/fighter-details/79ded75550efc139,"5' 11""",154 lbs.,--,Southpaw,39,7,0
Aoriqileng,,Aoriqileng,The Mongolian Murderer,http://www.ufcstats.com/fighter-details/7d420039bbfe7c1a,"5' 7""",135 lbs.,"69.0""",Orthodox,26,12,0
Josh Appelt,Josh,Appelt,,http://www.ufcstats.com/fighter-details/0c1a04afca64e38f,"5' 10""",255 lbs.,--,Southpaw,15,7,0
Erik Apple,Erik,Apple,,http://www.ufcstats.com/fighter-details/1ccff7f0cfdf85eb,"6' 0""",170 lbs.,--,Orthodox,10,3,0
